File name                 Size 
sector101371808.docx     1771313
sector102626976.docx     20695
sector102626978.docx     19671
sector102811744.docx     1370688
sector104398400.docx     20834
sector104822336.docx     7938831
sector105524672.docx     3288439
sector176034488.docx     5493
sector182494664.docx     31957
sector182507416.docx     14965
sector183436600.docx     27241
sector183436656.docx     27627
sector183437368.docx     34151
sector183437440.docx     14227
sector183438144.docx     137699
sector183665192.docx     20361
sector183753120.docx     21970
sector185334392.docx     17156
sector189204120.docx     179887
sector189214560.docx     22389
sector189215120.docx     19990
sector189215184.docx     29925
sector189215248.docx     13677
sector189218168.docx     33466
sector189219728.docx     584397
sector189221576.docx     31511
sector189221672.docx     19460
sector189222920.docx     58296
sector189223096.docx     28357
sector189223568.docx     31511
sector189226816.docx     30008
sector189235168.docx     14907
sector189242320.docx     76111
sector189242488.docx     2373247
sector189247045.docx     40063
sector189262728.docx     28043
sector200208112.docx     111861
sector200372032.docx     12673
sector200666288.docx     254608
sector200766584.docx     157613
sector200767768.docx     185937
sector200768136.docx     78534
sector201343104.docx     12951
sector201351664.docx     22842
sector209911248.docx     619624
sector210027480.docx     813448
sector210028857.docx     108424
sector210235928.docx     17161
sector210236976.docx     133587
sector210248544.docx     481157
sector210249488.docx     419521
sector210269584.docx     12726
sector210307376.docx     12628
sector210307408.docx     16008
sector210307440.docx     10216
sector210325056.docx     11825
sector210325080.docx     52872
sector210404168.docx     11773
sector210404192.docx     11430
sector210404216.docx     12194
sector210404248.docx     12106
sector210404272.docx     11846
sector210404352.docx     12428
sector210404384.docx     25836
sector210404440.docx     11903
sector210404464.docx     12633
sector210405928.docx     14165
sector210406056.docx     14222
sector210406088.docx     12579
sector210406120.docx     12271
sector210406152.docx     13610
sector210406184.docx     12200
sector210406264.docx     12310
sector210406296.docx     13000
sector210406768.docx     15470
sector210406800.docx     12897
sector210406976.docx     11465
sector210407064.docx     30808
sector210407128.docx     15925
sector210407160.docx     12737
sector210407192.docx     15733
sector210407224.docx     14870
sector210407440.docx     14089
sector210407472.docx     11313
sector210407520.docx     12864
sector210407640.docx     13563
sector210407768.docx     12863
sector210407872.docx     13704
sector210407968.docx     12502
sector210408000.docx     12554
sector210408032.docx     12394
